K,ResidualEnergy,OrthogonalityScore,IMFValidityScore,ComplexityPenalty,CombinedScore
2,1145952.03265637,0.016594917853827,38.4902636200498,15.0361283624662,1446867.21717297
3,993881.330358876,0.0699024578723629,74.2957292356889,22.5541925436992,1445337.35890362
4,890411.126782882,0.277490158717175,76.4379333897855,30.0722567249323,1492241.22585006
5,274868.140282811,0.311364765832414,177.250958361104,37.5903209061654,1027563.92684558
6,446445.9488994,0.427962409778839,238.782781545767,45.1083850873985,1349811.8441792
7,166626.311240466,0.525892788144142,275.761124231596,52.6264492686315,1220539.36116214
8,243248.504722344,0.661816810439981,284.627959853387,60.1445134498646,1447568.53168701
9,66131.3445280736,0.90647867738696,338.397169634461,67.6625776310977,1421083.94778497
10,96883.2288031742,1.27760503605552,316.447636256621,75.1806418123308,1602091.07928143
11,12620.3966121216,1.48744642267364,395.337127854253,82.6987059935639,1668586.0765869
12,48039.4911751251,1.82778471177143,348.738958479142,90.2167701747969,1854136.86731058
13,30264.9301529456,1.72174984025716,342.284476857317,97.73483435603,1986690.25715624
14,13538.3153749988,1.81604061433749,378.805525705899,105.252898537263,2120508.47415493
15,8814.69487287835,2.10292469466144,384.062309912034,112.770962718496,2266175.29003931
